T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1985,Balance of Payments: Current account (millions of US dollars),-243,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
4,Afghanistan,2010,Balance of Payments: Current account (millions of US dollars),-578,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
4,Afghanistan,2015,Balance of Payments: Current account (millions of US dollars),"-4,193",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
4,Afghanistan,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
4,Afghanistan,2010,Balance of Payments: Capital account (millions of US dollars),"1,897",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
4,Afghanistan,2015,Balance of Payments: Capital account (millions of US dollars),"1,318",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
4,Afghanistan,1985,Balance of Payments: Financial account (millions of US dollars),-75,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
4,Afghanistan,2010,Balance of Payments: Financial account (millions of US dollars),"1,104",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
4,Afghanistan,2015,Balance of Payments: Financial account (millions of US dollars),-249,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,1985,Balance of Payments: Current account (millions of US dollars),-36,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,1995,Balance of Payments: Current account (millions of US dollars),-12,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2010,Balance of Payments: Current account (millions of US dollars),"-1,356",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2015,Balance of Payments: Current account (millions of US dollars),-980,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2021,Balance of Payments: Current account (millions of US dollars),"-1,370",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2022,Balance of Payments: Current account (millions of US dollars),"-1,117",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2023,Balance of Payments: Current account (millions of US dollars),-202,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,1995,Balance of Payments: Capital account (millions of US dollars),389,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2010,Balance of Payments: Capital account (millions of US dollars),113,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2015,Balance of Payments: Capital account (millions of US dollars),139,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2021,Balance of Payments: Capital account (millions of US dollars),423,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2022,Balance of Payments: Capital account (millions of US dollars),21,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2023,Balance of Payments: Capital account (millions of US dollars),50,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,1985,Balance of Payments: Financial account (millions of US dollars),-30,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,1995,Balance of Payments: Financial account (millions of US dollars),432,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2010,Balance of Payments: Financial account (millions of US dollars),-797,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2015,Balance of Payments: Financial account (millions of US dollars),-682,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2021,Balance of Payments: Financial account (millions of US dollars),-738,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2022,Balance of Payments: Financial account (millions of US dollars),-947,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
8,Albania,2023,Balance of Payments: Financial account (millions of US dollars),-84,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,1985,Balance of Payments: Current account (millions of US dollars),"1,015",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2010,Balance of Payments: Current account (millions of US dollars),"12,220",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2015,Balance of Payments: Current account (millions of US dollars),"-27,038",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2021,Balance of Payments: Current account (millions of US dollars),"-4,510",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2022,Balance of Payments: Current account (millions of US dollars),"19,448",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2023,Balance of Payments: Current account (millions of US dollars),"5,424",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2010,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2021,Balance of Payments: Capital account (millions of US dollars),-50,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2022,Balance of Payments: Capital account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2023,Balance of Payments: Capital account (millions of US dollars),-454,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,1985,Balance of Payments: Financial account (millions of US dollars),"1,141",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2010,Balance of Payments: Financial account (millions of US dollars),"10,921",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2015,Balance of Payments: Financial account (millions of US dollars),"-27,202",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2021,Balance of Payments: Financial account (millions of US dollars),"-4,674",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2022,Balance of Payments: Financial account (millions of US dollars),"19,934",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
12,Algeria,2023,Balance of Payments: Financial account (millions of US dollars),"4,958",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
20,Andorra,2021,Balance of Payments: Current account (millions of US dollars),467,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
20,Andorra,2022,Balance of Payments: Current account (millions of US dollars),583,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
20,Andorra,2021,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
20,Andorra,2022,Balance of Payments: Capital account (millions of US dollars),-1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
20,Andorra,2021,Balance of Payments: Financial account (millions of US dollars),456,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
20,Andorra,2022,Balance of Payments: Financial account (millions of US dollars),606,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
24,Angola,1985,Balance of Payments: Current account (millions of US dollars),195,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
24,Angola,1995,Balance of Payments: Current account (millions of US dollars),-295,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
24,Angola,2010,Balance of Payments: Current account (millions of US dollars),"7,506",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
24,Angola,2015,Balance of Payments: Current account (millions of US dollars),"-10,273",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
