T20,Agricultural production indices,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,Agricultural production (Index Base: 2014-2016 = 100),51.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",1995,Agricultural production (Index Base: 2014-2016 = 100),61.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2005,Agricultural production (Index Base: 2014-2016 = 100),78.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2010,Agricultural production (Index Base: 2014-2016 = 100),88.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2015,Agricultural production (Index Base: 2014-2016 = 100),100.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2020,Agricultural production (Index Base: 2014-2016 = 100),108.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2021,Agricultural production (Index Base: 2014-2016 = 100),110.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2022,Agricultural production (Index Base: 2014-2016 = 100),111.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",1985,Food production (Index Base: 2014-2016 = 100),51.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",1995,Food production (Index Base: 2014-2016 = 100),61.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2005,Food production (Index Base: 2014-2016 = 100),78.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2010,Food production (Index Base: 2014-2016 = 100),88.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2015,Food production (Index Base: 2014-2016 = 100),100.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2020,Food production (Index Base: 2014-2016 = 100),108.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
1,"Total, all countries or areas",2021,Food production (Index Base: 2014-2016 = 100),110.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
