T32,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,Net official development assistance received: Bilateral  (millions of US dollars),"25,604",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",1995,Net official development assistance received: Bilateral  (millions of US dollars),"47,234",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2005,Net official development assistance received: Bilateral  (millions of US dollars),"82,623",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2010,Net official development assistance received: Bilateral  (millions of US dollars),"92,494",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2015,Net official development assistance received: Bilateral  (millions of US dollars),"111,987",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2020,Net official development assistance received: Bilateral  (millions of US dollars),"151,176",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2021,Net official development assistance received: Bilateral  (millions of US dollars),"153,169",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2022,Net official development assistance received: Bilateral  (millions of US dollars),"199,364",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",1985,Net official development assistance received: Multilateral (millions of US dollars),"5,920",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",1995,Net official development assistance received: Multilateral (millions of US dollars),"10,645",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2005,Net official development assistance received: Multilateral (millions of US dollars),"24,830",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2010,Net official development assistance received: Multilateral (millions of US dollars),"36,770",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2015,Net official development assistance received: Multilateral (millions of US dollars),"34,756",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2020,Net official development assistance received: Multilateral (millions of US dollars),"43,449",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2021,Net official development assistance received: Multilateral (millions of US dollars),"50,921",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2022,Net official development assistance received: Multilateral (millions of US dollars),"45,771",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",1985,Net official development assistance received: Total (millions of US dollars),"31,524",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",1995,Net official development assistance received: Total (millions of US dollars),"57,879",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2005,Net official development assistance received: Total (millions of US dollars),"107,452",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2010,Net official development assistance received: Total (millions of US dollars),"129,264",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2015,Net official development assistance received: Total (millions of US dollars),"146,743",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2020,Net official development assistance received: Total (millions of US dollars),"194,625",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2021,Net official development assistance received: Total (millions of US dollars),"204,091",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2022,Net official development assistance received: Total (millions of US dollars),"245,135",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",1985,Net official development assistance received: Total (as % GNI),1.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",1995,Net official development assistance received: Total (as % GNI),1.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2005,Net official development assistance received: Total (as % GNI),1.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2010,Net official development assistance received: Total (as % GNI),0.7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2015,Net official development assistance received: Total (as % GNI),0.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
1,"Total, all countries or areas",2020,Net official development assistance received: Total (as % GNI),0.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
