T29,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,Grants of patents (number),"397,580",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
1,"Total, all countries or areas",1995,Grants of patents (number),"429,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
1,"Total, all countries or areas",2005,Grants of patents (number),"632,500",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
1,"Total, all countries or areas",2010,Grants of patents (number),"915,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
1,"Total, all countries or areas",2020,Grants of patents (number),"1,596,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
1,"Total, all countries or areas",2021,Grants of patents (number),"1,754,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
1,"Total, all countries or areas",2022,Grants of patents (number),"1,823,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
2,Africa,2005,Grants of patents (number),"4,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
2,Africa,2010,Grants of patents (number),"10,000",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
2,Africa,2020,Grants of patents (number),"7,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
2,Africa,2021,Grants of patents (number),"11,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
2,Africa,2022,Grants of patents (number),"16,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
419,Latin America & the Caribbean,2005,Grants of patents (number),"14,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
419,Latin America & the Caribbean,2010,Grants of patents (number),"17,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
419,Latin America & the Caribbean,2020,Grants of patents (number),"36,100",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
419,Latin America & the Caribbean,2021,Grants of patents (number),"45,300",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
419,Latin America & the Caribbean,2022,Grants of patents (number),"41,500",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
142,Asia,2005,Grants of patents (number),"288,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
142,Asia,2010,Grants of patents (number),"469,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
142,Asia,2020,Grants of patents (number),"928,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
142,Asia,2021,Grants of patents (number),"1,121,500",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
142,Asia,2022,Grants of patents (number),"1,226,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
150,Europe,2005,Grants of patents (number),"150,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
150,Europe,2010,Grants of patents (number),"160,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
150,Europe,2020,Grants of patents (number),"231,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
