T28,Research and development (R&D) expenditure and researchers (full time equivalent),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2005,Researchers per million inhabitants (FTE),902.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2010,Researchers per million inhabitants (FTE),"1,009.8",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Researchers per million inhabitants (FTE),"1,143.1",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Researchers per million inhabitants (FTE),"1,352.5",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
