T08,"Teaching staff at the primary, lower secondary and upper secondary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Teachers at primary level,"26,893,023",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2005,Teachers at lower secondary level,"16,760,100",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2005,Teachers at upper secondary level,"11,883,292",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2010,Teachers at primary level,"28,676,377",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2010,Teachers at lower secondary level,"17,877,582",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2010,Teachers at upper secondary level,"14,335,596",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Teachers at primary level,"31,266,360",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Teachers with minimum required qualifications at primary level,85.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Teachers at lower secondary level,"18,751,487",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Teachers with minimum required qualifications at lower secondary level,86.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Teachers at upper secondary level,"14,957,666",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Teachers at primary level,"33,614,436",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Teachers with minimum required qualifications at primary level,86.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Teachers at lower secondary level,"21,736,452",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Teachers with minimum required qualifications at lower secondary level,84.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Teachers at upper secondary level,"17,196,924",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Teachers with minimum required qualifications at upper secondary level,86.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Teachers at primary level,"33,749,089",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
