T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
4,Afghanistan,2015,Major trading partner 1 (% of exports),Pakistan,,39.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2020,Major trading partner 1 (% of exports),Pakistan,,34.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2023,Major trading partner 1 (% of exports),Pakistan,,46.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2015,Major trading partner 1 (% of imports),China,,13.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2020,Major trading partner 1 (% of imports),China,,13.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2023,Major trading partner 1 (% of imports),China,,19.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2015,Major trading partner 2 (% of exports),India,,33.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2020,Major trading partner 2 (% of exports),India,,47.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2023,Major trading partner 2 (% of exports),India,,27.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2015,Major trading partner 2 (% of imports),United Arab Emirates,,4.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2020,Major trading partner 2 (% of imports),United Arab Emirates,,1.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2023,Major trading partner 2 (% of imports),United Arab Emirates,,17.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2015,Major trading partner 3 (% of exports),China,,1.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2020,Major trading partner 3 (% of exports),China,,3.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2023,Major trading partner 3 (% of exports),China,,4.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2015,Major trading partner 3 (% of imports),Pakistan,,17.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2020,Major trading partner 3 (% of imports),Pakistan,,12.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
4,Afghanistan,2023,Major trading partner 3 (% of imports),Pakistan,,13.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
8,Albania,2015,Major trading partner 1 (% of exports),Italy,,50.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
8,Albania,2020,Major trading partner 1 (% of exports),Italy,,45.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
8,Albania,2023,Major trading partner 1 (% of exports),Italy,,49.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
8,Albania,2015,Major trading partner 1 (% of imports),Italy,,30.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
8,Albania,2020,Major trading partner 1 (% of imports),Italy,,25.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
8,Albania,2023,Major trading partner 1 (% of imports),Italy,,23.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
8,Albania,2015,Major trading partner 2 (% of exports),Serbia,,9.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
