country,country_code,indicator,indicator_code,year,value
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,2024,1205973813871.44
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,2024,670025655309.603
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,2024,91570798875.9048
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,2024,2455559190577.36
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,2024,16021674099781.5
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,2024,31882663454356.9
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,2024,16406126934435.8
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,2024,29146936906252.2
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,2024,19423319451330.3
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,2024,1700322737099.85
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,2024,1132303151467.19
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,2024,29910723278948.7
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,2024,7313631690222.71
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,2024,1495340734264.69
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP (current US$),NY.GDP.MKTP.CD,2024,5025772564328.3
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,2024,31435123430970.3
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,2024,67687054565878.2
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,2024,205790426259.972
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,2024,11977251413.7163
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,2024,63040640005163.4
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,2024,1426898998276.72
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,2024,309361541400.629
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,2024,4514924632400.27
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,2024,1860829213452.29
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2023,17152234636.8715
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2024,27177735527.5667
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2024,263619794506.723
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,2022,871000000.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2024,4039844390.22543
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,2024,80396942241.6233
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,2024,2224814814.81481
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2024,633266692533.689
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2024,25786585949.6346
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2023,3648573136.15155
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,2024,1752193307380.34
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,2024,521642466921.745
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,2024,74315882352.9412
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,2024,15832800000.0
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,2024,47736702127.6596
